PC1,PC2,class
-2.1133006318013625,0.6342891933508977,0
-0.768576509048091,-1.146558051173706,0
-2.312642571599468,0.7258428239698457,0
-0.10407801676134723,-0.5960799993464637,0
0.33405066120739574,-0.5680498227456637,1
3.0527954216826623,-1.6676362493583925,1
-0.563141583075978,0.3234583311020661,1
0.022651060547099727,-1.0640587185792405,0
0.9358909615845882,-1.4425047331412666,0
2.5652189686746647,-1.4854328095924625,1
0.7350763106265038,-2.0525540419779666,0
2.883308846381373,-2.018364652582377,1
0.04679015038593467,0.8341092962292095,1
3.039391710843419,0.05402172079115127,1
1.7283133569096922,0.6701569126293178,1
-1.3783369922142077,1.7167538140113578,1
1.6262611152455861,0.18838036620302212,1
3.5613493895636696,0.14160229926469517,1
1.2429533330847466,1.0538929909845487,1
2.865923692895368,-0.4207169438592396,1
0.7726025203673373,1.2436381375630345,1
3.151696648836513,0.21527723471583696,1
-4.010820955397065,-0.10275236670470728,0
-3.223778149836157,-0.5301916842948702,0
-2.6516052316644254,-0.023357283042337713,0
-2.312590541606702,-1.0754442066790326,0
-4.548612179186266,0.26787965089316584,0
-2.3344027197235433,1.3038421662604698,0
-3.985925586552319,1.2124605869832332,0
-1.9551970718659557,0.31530554116942683,0
1.6053372402465362,-3.4460443686833355,0
-1.4112631638152229,-0.42200124877633305,0
-1.1293192813317359,-1.4163224273248238,0
3.993462949804061,-0.0826847793578856,2
6.121511630152886,-0.22630916711657081,2
1.3745161418043714,3.471790097859773,2
1.9971391506740999,0.652003553422334,1
2.7924493302889593,0.608469598058545,1
13.789224104098887,1.8981972502532043,2
2.4460924566163453,1.5736087146498716,2
7.383639469840131,1.970264734337537,2
3.41656628862718,0.8954355838819361,2
2.9113056018501973,0.39491508607296893,1
-6.17572705339476,0.027239680982118396,0
-1.2222012480361293,-1.5949041025647788,0
-4.482260069319613,-0.16157609994050162,0
-3.0160302920727338,-1.080840808242548,0
-4.477274805928624,0.46194021345850095,0
-5.426911932014066,-0.055146640480222796,0
-2.9997415766276085,-1.094932837643221,0
-4.459393828481021,-0.12097113428015666,0
-4.240269389318322,0.5530863136342992,0
-1.3210010394286975,-1.6181079605580855,0
-3.32452848657843,-0.12183881341088112,0
1.264335971883561,0.24321603266120337,1
0.663889030421239,1.072510582158778,1
2.7759026749172424,1.152096014723114,1
0.9355777224858653,0.9797227664223209,1
0.4501566711581382,1.7899488039400107,1
3.5340927188208355,-0.27674159456829966,1
-0.17203477502085504,0.8095017612065011,1
1.3136721210152447,0.26263598722258785,1
0.6984837587497834,1.2784980392688627,1
2.8751493437934426,0.42736903652753533,1
1.8463548295107488,1.3701264291235649,1
-2.788975178859306,-0.4843718053733389,0
-1.7943989790191868,-0.43191324681001547,0
-1.7477485946944125,-0.36909245137361807,0
-2.8240262040328536,-0.6536732710554791,0
-0.8911210249172392,-0.555120356205781,0
-1.7370164479338546,0.07207807016623777,0
-1.7466781345436264,-1.7372129563544934,0
